44 -33
6 -56
0 -44
28 -11
56 0
78 11
72 28
89 17
94 39
83 44
78 28
83 56
100 61
133 33
33 17
28 0
61 17
17 -39
106 -11
117 -11
0 -33
-28 -106
-67 -117
-56 -111
-44 -106
-28 -94
11 -72
22 -17
94 22
150 39
161 -11
-6 -44
-17 -72
-11 -44
-11 -50
0 -22
39 -17
0 -33
11 -28
0 -61
22 -78
72 11
67 22
67 6
78 6
128 28
50 -6
0 -78
17 -83
94 6
33 -39
11 -44
33 -39
56 22
83 11
72 0
67 17
83 22
106 39
72 22
44 -6
44 -17
56 -28
94 -6
56 33
33 6
56 -6
128 17
100 22
122 44
139 61
111 33
50 -17
83 -11
50 0
33 -17
17 -22
61 6
72 0
44 -11
50 -22
78 0
83 6
44 22
117 28
117 22
106 28
128 44
150 44
122 67
167 28
61 6
78 6
117 6
178 50
111 17
128 44
228 106
278 106
233 128
156 83
83 50
144 50
139 78
150 67
172 83
217 128
150 106
217 128
156 61
128 28
128 50
117 50
206 67
189 78
194 100
217 89
206 106
139 111
200 106
206 83
222 94
189 94
206 89
178 78
206 78
233 111
172 128
200 122
261 150
211 161
211 106
144 72
161 56
206 111
261 167
222 144
183 133
150 128
261 144
300 200
256 150
267 178
183 72
122 72
189 89
228 106
200 133
278 144
322 222
322 239
322 228
311 206
256 189
239 139
233 144
211 150
172 150
250 139
267 172
211 167
267 178
244 183
206 128
222 117
267 161
267 183
289 206
289 178
250 150
267 167
278 178
289 183
311 211
333 233
328 228
294 233
300 228
294 228
283 217
300 228
250 222
278 222
283 228
306 239
322 244
333 256
333 256
317 228
311 233
294 239
289 244
250 200
272 194
322 233
344 256
344 250
361 261
367 272
356 283
339 272
317 244
300 239
306 228
283 200
200 178
283 183
278 211
256 211
294 206
283 194
283 194
244 189
283 194
256 200
267 189
256 167
278 178
267 211
272 211
294 233
283 211
272 183
278 211
250 200
233 161
256 150
278 178
289 178
244 200
261 189
311 200
322 222
256 217
278 217
267 183
283 178
289 200
306 217
300 217
267 217
294 211
300 228
289 239
278 233
278 200
278 183
267 178
222 139
267 150
283 178
228 139
306 200
356 250
306 211
250 150
194 122
228 106
228 133
183 100
222 106
256 128
261 156
250 161
206 122
189 100
228 83
228 111
217 144
206 139
228 133
222 139
239 133
278 150
283 178
256 172
300 189
244 178
211 183
244 156
194 122
167 117
183 122
200 156
222 156
183 133
189 111
222 117
194 133
228 161
200 128
178 111
172 100
189 100
194 106
128 72
122 50
117 44
128 50
144 78
161 61
133 67
156 83
189 117
211 150
200 128
128 28
78 17
128 50
161 94
178 67
100 44
100 33
161 67
117 61
111 -5
39 -16
111 6
139 67
156 72
156 106
183 106
106 22
67 0
111 17
139 106
122 -5
-10 -49
17 -49
83 6
167 17
17 -10
39 -16
39 -38
94 22
94 50
117 33
111 50
156 89
167 28
50 0
6 -16
39 -5
28 -10
6 -27
-10 -49
17 -49
11 -55
44 -10
6 -38
0 -43
28 -49
83 -10
117 50
183 106
217 161
178 56
56 -32
-5 -71
22 -10
44 -5
128 22
89 50
72 -49
0 -60
6 -43
